A0a 14:14:59.71 -11:57:03.44
A0b 14:19:49.09 -13:17:36.23
A0c 14:22:11.42 -11:39:26.43
A0d 14:24:41.45 -14:37:49.69
A0e 14:27:02.70 -12:59:30.33
A0f 14:29:22.09 -11:21:06.26
A0g 14:29:36.95 -15:57:42.78
A0h 14:31:57.11 -14:19:13.73
A0i 14:34:15.23 -12:40:39.61
A0j 14:36:31.58 -11:02:01.10
A0k 14:34:35.73 -17:17:14.45
A0l 14:36:54.80 -15:38:35.57
A0m 14:39:11.66 -13:59:51.30
A0n 14:41:26.57 -12:21:02.30
A0o 14:43:39.79 -10:42:09.21
A1a 16:44:20.49 -21:23:01.75
A1b 16:50:10.37 -22:30:03.56
A1c 16:51:16.46 -20:42:20.34
A1d 16:56:05.70 -23:36:19.26
A1e 16:57:07.87 -21:48:27.59
A1f 16:58:08.51 -20:00:34.51
A1g 17:02:06.59 -24:41:47.35
A1h 17:03:04.71 -22:53:47.66
A1i 17:04:01.31 -21:05:46.68
A1j 17:04:56.55 -19:17:44.56
A1k 17:08:13.16 -25:46:26.34
A1l 17:09:07.07 -23:58:19.08
A1m 17:09:59.48 -22:10:10.67
A1n 17:10:50.57 -20:22:01.24
A1o 17:11:40.48 -18:33:50.91
