B0a 20:31:30.33 -19:23:23.82
B0b 20:38:47.25 -19:53:11.52
B0c 20:37:06.89 -18:11:47.89
B0d 20:46:06.72 -20:21:55.07
B0e 20:44:21.65 -18:40:46.41
B0f 20:42:38.65 -16:59:34.17
B0g 20:53:28.60 -20:49:35.23
B0h 20:51:38.85 -19:08:42.02
B0i 20:49:51.31 -17:27:44.81
B0j 20:48:05.73 -15:46:44.07
B0k 21:00:52.74 -21:16:12.90
B0l 20:58:58.34 -19:35:35.57
B0m 20:57:06.29 -17:54:53.82
B0n 20:55:16.36 -16:14:08.14
B0o 20:53:28.28 -14:33:18.99
B1a 23:27:45.53 -05:00:35.01
B1b 23:34:43.47 -05:16:15.90
B1c 23:31:55.69 -03:35:48.69
B1d 23:41:41.65 -05:31:42.47
B1e 23:38:52.92 -03:51:20.81
B1f 23:36:04.86 -02:10:57.08
B1g 23:48:39.98 -05:46:56.96
B1h 23:45:50.41 -04:06:40.19
B1i 23:43:01.55 -02:26:21.18
B1j 23:40:13.11 -00:46:00.86
B1k 23:55:38.35 -06:02:01.66
B1l 23:52:48.05 -04:21:49.08
B1m 23:49:58.50 -02:41:34.11
B1n 23:47:09.42 -01:01:17.68
B1o 23:44:20.52 +00:38:59.32
